# Trade    Entry Date    DOW     Exit Date    Qty    Ticks    MAE    MFE    PL    Equity
     0,    0000-00-00,     0,   0000-00-00,    0,    0,    0,    0,    0,    0,
     1,    2010-04-01,    4,    2010-04-01,    1,    78.0,    10.0,    1239.9,    780.0,    780.0,
     2,    2010-04-06,    2,    2010-04-06,    1,   191.0,    39.9,    2530.0,    1910.0,    2690.0,
     3,    2010-04-13,    2,    2010-04-13,    1,   -12.0,    309.9,    110.0,    -120.0,    2570.0,
     4,    2010-04-15,    4,    2010-04-15,    1,   180.0,    200.0,    2289.9,    1800.0,    4370.0,
     5,    2010-04-22,    4,    2010-04-22,    1,    39.0,    0.0,    730.0,    390.0,    4760.0,
     6,    2010-04-26,    1,    2010-04-26,    1,    21.0,    320.0,    1039.9,    210.0,    4970.0,
     7,    2010-05-06,    4,    2010-05-06,    1,  -189.0,    2140.0,    139.9,    -1890.0,    3080.0,
     8,    2010-05-11,    2,    2010-05-11,    1,    14.0,    520.0,    640.0,    140.0,    3220.0,
     9,    2010-05-13,    4,    2010-05-13,    1,   -17.0,    1170.0,    1419.9,    -170.0,    3050.0,
     10,    2010-05-18,    2,    2010-05-18,    1,   119.0,    240.0,    1589.9,    1190.0,    4240.0,
     11,    2010-05-26,    3,    2010-05-26,    1,   -62.0,    689.9,    830.0,    -620.0,    3620.0,
     12,    2010-05-27,    4,    2010-05-27,    1,  -114.0,    1240.0,    549.9,    -1140.0,    2480.0,
     13,    2010-05-31,    1,    2010-05-31,    1,    -3.0,    139.9,    270.0,    -30.0,    2450.0,
     14,    2010-06-07,    1,    2010-06-07,    1,  -117.0,    1319.9,    320.0,    -1170.0,    1280.0,
     15,    2010-06-14,    1,    2010-06-14,    1,   -89.0,    920.0,    469.9,    -890.0,    390.0,
     16,    2010-06-15,    2,    2010-06-15,    1,   -31.0,    830.0,    579.9,    -310.0,    80.0,
     17,    2010-06-16,    3,    2010-06-16,    1,   123.0,    109.9,    1690.0,    1230.0,    1310.0,
     18,    2010-06-21,    1,    2010-06-21,    1,   261.0,    400.0,    3160.0,    2610.0,    3920.0,
     19,    2010-07-01,    4,    2010-07-01,    1,    90.0,    0.0,    1790.0,    900.0,    4820.0,
     20,    2010-07-13,    2,    2010-07-13,    1,  -118.0,    1490.0,    0.0,    -1180.0,    3640.0,
     21,    2010-07-15,    4,    2010-07-15,    1,   228.0,    0.0,    2389.9,    2280.0,    5920.0,
     22,    2010-07-21,    3,    2010-07-21,    1,    95.0,    400.0,    1419.9,    950.0,    6870.0,
     23,    2010-07-22,    4,    2010-07-22,    1,   -19.0,    869.9,    490.0,    -190.0,    6680.0,
     24,    2010-07-28,    3,    2010-07-28,    1,    22.0,    1579.9,    299.9,    220.0,    6900.0,
     25,    2010-07-29,    4,    2010-07-29,    1,   -80.0,    1200.0,    359.9,    -800.0,    6100.0,
     26,    2010-08-02,    1,    2010-08-02,    1,   244.0,    0.0,    2799.9,    2440.0,    8540.0,
     27,    2010-08-19,    4,    2010-08-19,    1,  -161.0,    1840.0,    0.0,    -1610.0,    6930.0,
     28,    2010-08-30,    1,    2010-08-30,    1,   -26.0,    780.0,    0.0,    -260.0,    6670.0,
     29,    2010-09-06,    1,    2010-09-06,    1,    31.0,    20.0,    559.9,    310.0,    6980.0,
